0	11	6541.16	14	2009
1	11	7264.41	16	2009
1	11	9722.25	18.7	2009
1	11	8496.88	16.6	2009
1	11	8295.32	16.6	2009
1	11	8954.17	13.6	2009
0	11	7866.77	15.3	2009
0	11	6962.43	14.7	2009
1	11	7565.73	19	2009
1	11	9858.81	13.4	2009
1	11	9858.05	15.9	2009
1	11	9420.91	16.6	2009
1	11	8791.24	12	2009
0	11	7759.03	13.6	2009
0	11	6547.76	10.5	2009
1	11	6522.38	12	2009
1	11	8113.19	13.5	2009
1	11	8206.67	14	2009
1	11	8263.02	14.8	2009
1	11	8353.96	3	2009
0	11	8926.39	3.3	2009
0	11	8792.26	6.7	2009
1	11	9631.36	9.6	2009
1	11	10058.08	5.7	2009
1	11	9541.18	5.7	2009
1	11	10231.51	4	2009
1	11	9986.91	-0.4	2009
0	11	9002.27	-2.8	2009
0	11	7409.38	-1.2	2009
1	11	7917.99	1.6	2009
1	12	9667.16	4.9	2009
1	12	9702.15	5.3	2009
1	12	9854.15	7	2009
1	12	9192.14	7	2009
0	12	7733.12	7.2	2009
0	12	8037.25	7.9	2009
1	12	9387.27	8.4	2009
1	12	10278.29	8	2009
1	12	10220.29	6.5	2009
1	12	10057.28	6.7	2009
1	12	9155.26	4.7	2009
0	12	8195.24	5.9	2009
0	12	8579.26	5.4	2009
1	12	10748.29	7	2009
1	12	10587.29	2.4	2009
1	12	10492.27	3.7	2009
1	12	11552.3	3.2	2009
1	12	11916.31	4.8	2009
0	12	10203.28	6.8	2009
0	12	10617.29	4	2009
1	12	10691.29	3.9	2009
1	12	11026.73	6.9	2009
1	12	10947.71	4.8	2009
1	12	10468.71	6.3	2009
1	12	9704.14	7.6	2009
0	12	9878.14	1.5	2009
0	12	11614.17	1.2	2009
1	12	9988.15	2.2	2009
1	12	9430.15	1.6	2009
1	12	8014.12	3.2	2009
1	12	6689.95	-1	2009
1	1	5465.09	-1.4	2010
0	1	6164.11	-1.4	2010
0	1	7663.13	-1.2	2010
1	1	9631.14	0.1	2010
1	1	9741.14	2.2	2010
1	1	9312.13	4.9	2010
1	1	7507.11	-2.6	2010
1	1	7791.11	-4.3	2010
0	1	7870.12	-3.9	2010
0	1	10591.3	-3.4	2010
1	1	11391.31	-2.4	2010
1	1	11174.31	-2.5	2010
1	1	10983.3	1.1	2010
1	1	11001.3	0.6	2010
1	1	11158.31	-4	2010
0	1	9215.25	-2	2010
0	1	8901.23	3.8	2010
1	1	10916.27	-0.1	2010
1	1	11766.14	4.1	2010
1	1	11406.28	3.4	2010
1	1	11201.27	7.1	2010
1	1	11619.27	2.8	2010
0	1	10980.26	0.5	2010
0	1	11217.84	6.4	2010
1	1	12060.26	9.9	2010
1	1	12637.27	7.2	2010
1	1	11458.12	-3.5	2010
1	1	11584.25	-6.7	2010
1	1	11672.26	-3.9	2010
0	1	9395.23	-3.8	2010
0	1	9195.23	0.9	2010
1	2	11444.29	3.7	2010
1	2	10576	1.6	2010
1	2	11107	0.2	2010
1	2	11938	0.5	2010
1	2	12493	-0.2	2010
0	2	12572	-0.5	2010
0	2	12236	-8.6	2010
1	2	11594	-7.3	2010
1	2	11388	-5.6	2010
1	2	11427	-7.1	2010
1	2	11519	-7	2010
1	2	11166	-8.2	2010
0	2	9175	-8.9	2010
0	2	8571	-11.2	2010
1	2	10036.21	-14.5	2010
1	2	9473	-17.9	2010
1	2	10032	-16.1	2010
1	2	9960	-13.1	2010
1	2	7737	-4.2	2010
0	2	7123	3.1	2010
0	2	6918	-5.4	2010
1	2	7056	-2.7	2010
1	2	7136	4.1	2010
